id,name,status,objective,spend,impressions,clicks,ctr,cpc,reach,frequency,adsets_count,ads_count
6694036687601,Джульетта | 21.02.25,ACTIVE,OUTCOME_ENGAGEMENT,75.01,11093,154,1.39,0.49,5350,2.07,1,4
6686216478001,[15.02.2025] Продвижение Отправить сообщение,ACTIVE,MESSAGES,34.51,7435,491,6.6,0.07,5056,1.47,1,1
6684244739201,Тюльпаны оптом - 12.02.25,ACTIVE,OUTCOME_TRAFFIC,369.2,367965,4355,1.18,0.08,177884,2.07,2,2
6683158565001,Пионов розы - 11.02.25 д,ACTIVE,OUTCOME_TRAFFIC,4.21,4704,19,0.4,0.22,4656,1.01,1,0
6683155214201,Тюльпан - 11.02.25,ACTIVE,OUTCOME_TRAFFIC,402.6,399672,3353,0.84,0.12,161951,2.47,2,2
6683148191601,Цветы в пачке - 11.02.25,ACTIVE,OUTCOME_TRAFFIC,405.05,287575,4096,1.42,0.1,161824,1.78,2,2
